Date,AAA yields,All ratings
30/04/21,0.528919,1.118476
29/04/21,0.547636,1.137782
28/04/21,0.46851,1.049675
27/04/21,0.452227,1.016585
26/04/21,0.432866,0.997458
23/04/21,0.433899,1.000686
22/04/21,0.408113,0.986604
21/04/21,0.416173,1.001031
20/04/21,0.468852,1.052237
19/04/21,0.485604,1.0555
16/04/21,0.456906,1.024064
15/04/21,0.416415,1.002236
14/04/21,0.406209,1.022389
13/04/21,0.394386,1.004866
12/04/21,0.39727,1.014691
09/04/21,0.39164,1.000582
08/04/21,0.318222,0.953614
07/04/21,0.359178,0.995656
06/04/21,0.369734,0.996933
01/04/21,0.353253,0.973733
31/03/21,0.368194,0.99434
30/03/21,0.406413,1.026509
29/03/21,0.361451,0.979721
26/03/21,0.325331,0.943033
25/03/21,0.276437,0.921138
24/03/21,0.332359,0.956398
23/03/21,0.342914,0.974308
22/03/21,0.390568,1.011298
19/03/21,0.401541,1.025986
18/03/21,0.426156,1.031833
17/03/21,0.369795,0.998381
16/03/21,0.295555,0.905492
15/03/21,0.343857,0.950153
12/03/21,0.338088,0.946994
11/03/21,0.266058,0.875037
10/03/21,0.286701,0.941042
09/03/21,0.291281,0.921697
08/03/21,0.334676,0.976378
05/03/21,0.326906,0.983398
04/03/21,0.294663,0.963551
03/03/21,0.316528,0.983815
02/03/21,0.284092,0.948109
01/03/21,0.249389,0.907973
26/02/21,0.315627,0.988484
25/02/21,0.364794,1.034855
24/02/21,0.35162,1.012584
23/02/21,0.324021,0.958447
22/02/21,0.256265,0.8948
19/02/21,0.29224,0.900099
18/02/21,0.258796,0.883906
17/02/21,0.220551,0.828406
16/02/21,0.223894,0.796416
15/02/21,0.174953,0.760465
12/02/21,0.118481,0.714113
11/02/21,0.066002,0.63345
10/02/21,0.053514,0.652794
09/02/21,0.056784,0.645853
08/02/21,0.092669,0.670794
05/02/21,0.039656,0.630303
04/02/21,0.034419,0.635878
03/02/21,0.015831,0.579772
02/02/21,-0.021569,0.59213
01/02/21,-0.052383,0.568977
29/01/21,-0.040803,0.580315
28/01/21,-0.087087,0.531904
27/01/21,-0.120459,0.517073
26/01/21,-0.103556,0.5159
25/01/21,-0.127452,0.488527
22/01/21,-0.080807,0.580393
21/01/21,-0.073201,0.583071
20/01/21,-0.121704,0.512342
19/01/21,-0.094086,0.529175
18/01/21,-0.108543,0.528217
15/01/21,-0.118951,0.452703
14/01/21,-0.1555,0.432441
13/01/21,-0.122618,0.463373
12/01/21,-0.06624,0.507928
11/01/21,-0.095898,0.464096
08/01/21,-0.145993,0.418595
07/01/21,-0.140223,0.460458
06/01/21,-0.143214,0.474348
05/01/21,-0.191728,0.463809
04/01/21,-0.188775,0.4852
30/12/20,-0.239028,0.489199
29/12/20,-0.216099,0.504664
28/12/20,-0.207159,0.531658
23/12/20,-0.138073,0.560779
22/12/20,-0.182759,0.492685
21/12/20,-0.174165,0.5198
18/12/20,-0.163656,0.507686
17/12/20,-0.167607,0.483279
16/12/20,-0.135894,0.455787
15/12/20,-0.191454,0.387115
14/12/20,-0.178858,0.45701
11/12/20,-0.192931,0.392921
10/12/20,-0.158922,0.423041
09/12/20,-0.148159,0.419709
08/12/20,-0.162767,0.408082
07/12/20,-0.128102,0.469001
04/12/20,-0.092217,0.496393
03/12/20,-0.097884,0.49234
02/12/20,-0.056624,0.558097
01/12/20,-0.104995,0.546978
30/11/20,-0.126411,0.483847
27/11/20,-0.131774,0.47928
26/11/20,-0.132036,0.469697
25/11/20,-0.10762,0.482852
24/11/20,-0.125019,0.489808
23/11/20,-0.124934,0.493791
20/11/20,-0.146501,0.483149
19/11/20,-0.144185,0.48176
18/11/20,-0.117948,0.503192
17/11/20,-0.126419,0.493741
16/11/20,-0.10064,0.512334
13/11/20,-0.091787,0.533064
12/11/20,-0.069317,0.551225
11/11/20,-0.033501,0.579666
10/11/20,0.01674,0.629748
09/11/20,-0.029924,0.596902
06/11/20,-0.155409,0.509321
05/11/20,-0.172878,0.497143
04/11/20,-0.19721,0.477093
03/11/20,-0.168865,0.554296
02/11/20,-0.17377,0.564226
30/10/20,-0.173876,0.550538
29/10/20,-0.160514,0.559274
28/10/20,-0.174078,0.567214
27/10/20,-0.14753,0.549122
26/10/20,-0.104039,0.581044
23/10/20,-0.080612,0.621898
22/10/20,-0.090532,0.610225
21/10/20,-0.09902,0.605368
20/10/20,-0.131157,0.57916
19/10/20,-0.126115,0.533694
16/10/20,-0.123911,0.486634
15/10/20,-0.161743,0.47893
14/10/20,-0.101218,0.515074
13/10/20,-0.074011,0.528162
12/10/20,-0.058891,0.556395
09/10/20,-0.0571,0.57229
08/10/20,-0.028139,0.609723
07/10/20,0.008087,0.670694
06/10/20,-0.027418,0.608338
05/10/20,-0.018499,0.623383
02/10/20,-0.042022,0.605752
01/10/20,-0.026388,0.613975
30/09/20,-0.037633,0.566242
29/09/20,-0.038108,0.565747
28/09/20,-0.043278,0.578669
25/09/20,-0.041871,0.555899
24/09/20,-0.020116,0.577347
23/09/20,-0.003508,0.599214
22/09/20,-0.006664,0.594092
21/09/20,-0.037047,0.581038
18/09/20,-0.000186,0.617931
17/09/20,-0.00976,0.592702
16/09/20,0.014303,0.601458
15/09/20,0.026215,0.626095
14/09/20,0.013286,0.61573
11/09/20,0.073046,0.652854
10/09/20,0.083331,0.685436
09/09/20,0.055967,0.657799
08/09/20,0.0293,0.62934
07/09/20,0.080082,0.692133
04/09/20,0.055977,0.644264
03/09/20,0.025285,0.615111
02/09/20,0.087892,0.663797
01/09/20,0.150642,0.768768
31/08/20,0.150072,0.767383
28/08/20,0.127091,0.74439
27/08/20,0.167351,0.747463
26/08/20,0.089842,0.761733
25/08/20,0.062842,0.747166
24/08/20,-0.023112,0.684692
21/08/20,-0.009976,0.660508
20/08/20,-0.035191,0.644289
19/08/20,0.026088,0.683282
18/08/20,0.051342,0.705462
17/08/20,0.07793,0.706569
14/08/20,0.07361,0.69524
13/08/20,0.087939,0.693864
12/08/20,0.031435,0.635345
11/08/20,0.016179,0.619022
10/08/20,-0.060665,0.553156
07/08/20,-0.052462,0.572192
06/08/20,-0.070609,0.566282
05/08/20,-0.038979,0.601588
04/08/20,-0.096487,0.569735
03/08/20,-0.017978,0.715179
31/07/20,-0.035406,0.694297
30/07/20,-0.085767,0.635649
29/07/20,-0.028878,0.68867
28/07/20,-0.034129,0.669607
27/07/20,-0.009702,0.662777
24/07/20,0.017423,0.749832
23/07/20,-0.004366,0.704026
22/07/20,0.000906,0.722776
21/07/20,0.061883,0.74913
20/07/20,0.021118,0.740393
17/07/20,0.053794,0.692445
16/07/20,0.042614,0.671019
15/07/20,0.153565,0.720494
14/07/20,0.040682,0.712497
13/07/20,0.078507,0.749521
10/07/20,0.003414,0.678764
09/07/20,0.050379,0.729287
08/07/20,0.06682,0.739826
07/07/20,0.096345,0.745349
06/07/20,0.117443,0.780471
03/07/20,0.111231,0.781106
02/07/20,0.124939,0.802568
01/07/20,0.135946,0.903319
30/06/20,0.031272,0.797106
29/06/20,0.076268,0.781858
26/06/20,0.061608,0.789757
25/06/20,0.076613,0.851106
24/06/20,0.128264,0.8318
23/06/20,0.130392,0.808669
22/06/20,0.051317,0.783003
19/06/20,0.07877,0.820838
18/06/20,0.08759,0.823109
17/06/20,0.122294,0.86066
16/06/20,0.143374,0.892488
15/06/20,0.108725,0.864037
12/06/20,0.133364,0.953691
11/06/20,0.141679,0.969219
10/06/20,0.264718,1.071752
09/06/20,0.271151,1.013183
08/06/20,0.325376,1.055316
05/06/20,0.369028,1.08348
04/06/20,0.300714,1.068471
03/06/20,0.21418,0.992148
02/06/20,0.180844,0.995947
01/06/20,0.193044,1.03168
29/05/20,0.118832,0.936913
28/05/20,0.142443,1.029104
27/05/20,0.152073,1.056377
26/05/20,0.12507,1.01122
25/05/20,0.06596,1.02918
22/05/20,0.075779,0.998354
21/05/20,0.043163,0.979343
20/05/20,0.059415,0.993009
19/05/20,0.104229,1.006992
18/05/20,0.076221,1.079863
15/05/20,0.016665,1.013468
14/05/20,0.053508,1.032145
13/05/20,0.06679,1.209631
12/05/20,0.120202,1.161091
11/05/20,0.12266,1.133991
08/05/20,0.106494,1.35139
07/05/20,0.113726,1.352482
06/05/20,0.098682,1.374591
05/05/20,0.053706,1.304926
04/05/20,0.036168,1.284389
30/04/20,0.012346,1.025182
29/04/20,0.039791,1.203548
28/04/20,0.086728,1.240706
27/04/20,0.076185,1.268293
24/04/20,0.068415,1.326762
23/04/20,0.10174,1.397798
22/04/20,0.109682,1.442059
21/04/20,0.06673,1.320294
20/04/20,0.106788,1.323817
17/04/20,0.080715,1.232503
16/04/20,0.047233,1.224546
15/04/20,0.054845,1.23159
14/04/20,0.16179,1.327462
09/04/20,0.201577,1.150731
08/04/20,0.247567,1.19047
07/04/20,0.222662,1.159988
06/04/20,0.112035,1.088162
03/04/20,0.053456,1.213976
02/04/20,0.064027,1.210032
01/04/20,0.097812,1.227197
31/03/20,0.090999,1.135028
30/03/20,0.029893,1.060746
27/03/20,0.077803,1.069274
26/03/20,0.215934,1.16943
25/03/20,0.181534,1.261821
24/03/20,0.126198,1.211366
23/03/20,0.089822,1.172019
20/03/20,0.133949,1.094122
19/03/20,0.288071,1.217394
18/03/20,0.210529,1.269239
17/03/20,-0.01186,1.162074
16/03/20,-0.01764,1.056318
13/03/20,-0.069254,0.905226
12/03/20,-0.294814,0.507019
11/03/20,-0.345116,0.661582
10/03/20,-0.389832,0.58164
09/03/20,-0.402033,0.541738
06/03/20,-0.296147,0.454009
05/03/20,-0.161814,0.649249
04/03/20,-0.120814,0.576896
03/03/20,-0.11259,0.672687
02/03/20,-0.148178,0.582717
28/02/20,-0.131439,0.582686
27/02/20,-0.019261,0.627558
26/02/20,0.037089,0.620352
25/02/20,0.013998,0.59469
24/02/20,0.032341,0.593106
21/02/20,0.058269,0.611457
20/02/20,0.106714,0.653237
19/02/20,0.15903,0.708842
18/02/20,0.174357,0.725847
17/02/20,0.171888,0.685875
14/02/20,0.162059,0.687537
13/02/20,0.18418,0.705845
12/02/20,0.203303,0.615542
11/02/20,0.186471,0.617797
10/02/20,0.175352,0.706927
07/02/20,0.178353,0.7245
06/02/20,0.240688,0.794923
05/02/20,0.22745,0.793525
04/02/20,0.186871,0.780478
03/02/20,0.100831,0.703964
31/01/20,0.097297,0.696201
30/01/20,0.141145,0.735318
29/01/20,0.163066,0.773858
28/01/20,0.176358,0.770466
27/01/20,0.160213,0.757288
24/01/20,0.232237,0.836606
23/01/20,0.253592,0.865954
22/01/20,0.29191,0.88845
21/01/20,0.334845,0.939032
20/01/20,0.356921,0.949715
17/01/20,0.368326,0.983028
16/01/20,0.354684,0.995074
15/01/20,0.371372,1.00422
14/01/20,0.407976,1.025909
13/01/20,0.439807,1.104402
10/01/20,0.390381,1.034449
09/01/20,0.39363,1.07811
08/01/20,0.359057,1.03958
07/01/20,0.318124,1.004026
06/01/20,0.294766,1.00081
03/01/20,0.319994,1.019051
02/01/20,0.373095,1.09616
30/12/19,0.411751,1.109719
27/12/19,0.378594,1.075508
23/12/19,0.384608,1.046417
20/12/19,0.392498,1.060582
19/12/19,0.407172,1.110632
18/12/19,0.36107,1.045137
17/12/19,0.320553,0.994552
16/12/19,0.318951,0.981622
13/12/19,0.344053,1.028182
12/12/19,0.341478,1.037946
11/12/19,0.313637,0.985998
10/12/19,0.336881,1.012458
09/12/19,0.31868,1.022993
06/12/19,0.322612,1.006693
05/12/19,0.33237,1.009753
04/12/19,0.277589,0.947312
03/12/19,0.277133,0.972767
02/12/19,0.310657,1.040698
29/11/19,0.225301,0.978477
28/11/19,0.211831,0.925377
27/11/19,0.206675,0.922291
26/11/19,0.199545,0.908625
25/11/19,0.217428,0.936449
22/11/19,0.229376,0.951682
21/11/19,0.263236,0.984727
20/11/19,0.214119,0.914972
19/11/19,0.246488,0.945352
18/11/19,0.240366,0.924306
15/11/19,0.241269,0.963493
14/11/19,0.242182,0.930051
13/11/19,0.288797,0.969437
12/11/19,0.369485,0.991187
11/11/19,0.34405,0.955568
08/11/19,0.354755,0.964428
07/11/19,0.344143,0.944122
06/11/19,0.269656,0.883345
05/11/19,0.295101,0.941217
04/11/19,0.253171,0.923376
01/11/19,0.186778,0.849625
31/10/19,0.144297,0.803476
30/10/19,0.219222,0.86635
29/10/19,0.234866,0.879822
28/10/19,0.277949,0.880634
25/10/19,0.20131,0.850108
24/10/19,0.1658,0.836535
23/10/19,0.165907,0.811418
22/10/19,0.212652,0.859458
21/10/19,0.273851,0.900136
18/10/19,0.214102,0.863249
17/10/19,0.191162,0.835634
16/10/19,0.221748,0.843354
15/10/19,0.110594,0.777244
14/10/19,0.123134,0.793792
11/10/19,0.141672,0.819479
10/10/19,0.083412,0.786091
09/10/19,-0.002636,0.716546
08/10/19,-0.031384,0.691041
07/10/19,-0.028189,0.699059
04/10/19,-0.04642,0.689819
03/10/19,-0.056189,0.691338
02/10/19,0.019461,0.758872
01/10/19,0.021138,0.749799
30/09/19,-0.022774,0.69337
27/09/19,-0.072159,0.659069
26/09/19,-0.083582,0.64262
25/09/19,-0.12953,0.601103
24/09/19,-0.084779,0.656786
23/09/19,-0.063895,0.666299
20/09/19,0.030072,0.769237
19/09/19,0.053506,0.784691
18/09/19,0.087256,0.962641
17/09/19,0.128952,0.861728
16/09/19,0.147773,0.853369
13/09/19,0.137022,0.812098
12/09/19,0.018686,0.79628
11/09/19,0.077861,0.85212
10/09/19,0.067423,0.830849
09/09/19,0.062445,0.821949
06/09/19,-0.039893,0.681786
05/09/19,0.042911,0.743526
04/09/19,-0.084009,0.665242
03/09/19,-0.148186,0.561393
02/09/19,-0.112337,0.606382
30/08/19,-0.119453,0.564667
29/08/19,-0.158258,0.532787
28/08/19,-0.217148,0.350964
27/08/19,-0.137247,0.429244
26/08/19,-0.093227,0.45384
23/08/19,-0.060108,0.489715
22/08/19,-0.070192,0.463989
21/08/19,-0.093356,0.448137
20/08/19,-0.12326,0.392296
19/08/19,-0.049938,0.439221
16/08/19,-0.201811,0.339079
15/08/19,-0.181561,0.41229
14/08/19,-0.112807,0.454015
13/08/19,-0.043268,0.537184
12/08/19,0.003281,0.562812
09/08/19,0.034458,0.586025
08/08/19,0.03575,0.614654
07/08/19,-0.051533,0.508004
06/08/19,0.055692,0.537921
05/08/19,0.06442,0.732241
02/08/19,0.130113,0.827131
01/08/19,0.193817,0.895823
31/07/19,0.253988,0.946336
30/07/19,0.278703,1.005983
29/07/19,0.286826,0.982967
26/07/19,0.328742,1.030932
25/07/19,0.347102,1.093661
24/07/19,0.327567,1.025957
23/07/19,0.390042,1.089154
22/07/19,0.393313,1.077101
19/07/19,0.409923,1.079729
18/07/19,0.422096,1.062479
17/07/19,0.425939,1.097885
16/07/19,0.466569,1.143622
15/07/19,0.48065,1.169534
12/07/19,0.546442,1.21775
11/07/19,0.513646,1.121825
10/07/19,0.461766,1.076116
09/07/19,0.391046,1.02107
08/07/19,0.338115,0.977028
05/07/19,0.39001,0.987958
04/07/19,0.319432,0.897048
03/07/19,0.339431,0.953937
02/07/19,0.402744,1.037184
01/07/19,0.417041,1.040753
28/06/19,0.435515,1.067003
27/06/19,0.430349,1.064383
26/06/19,0.429916,1.046327
25/06/19,0.408867,1.046327
24/06/19,0.450105,1.092427
21/06/19,0.457496,1.120392
20/06/19,0.425762,1.075906
19/06/19,0.483257,1.138985
18/06/19,0.464483,1.132974
17/06/19,0.531088,1.193631
14/06/19,0.506285,1.189956
13/06/19,0.532015,1.236887
12/06/19,0.550574,1.096477
11/06/19,0.558432,1.094983
10/06/19,0.581545,1.140538
07/06/19,0.493407,1.035381
06/06/19,0.555576,1.099999
05/06/19,0.587989,1.149027
04/06/19,0.584424,1.177991
03/06/19,0.60228,1.265586
31/05/19,0.644012,1.322029
30/05/19,0.687182,1.394932
29/05/19,0.668581,1.394932
28/05/19,0.707403,1.52671
27/05/19,0.725696,1.476707
24/05/19,0.760682,1.527877
23/05/19,0.762706,1.522489
22/05/19,0.80401,1.551529
21/05/19,0.808074,1.560403
20/05/19,0.777428,1.570914
17/05/19,0.751403,1.475687
16/05/19,0.756989,1.489855
15/05/19,0.72948,1.542457
14/05/19,0.774572,1.602891
13/05/19,0.803346,1.541283
10/05/19,0.835512,1.564378
09/05/19,0.800189,1.559455
08/05/19,0.80578,1.542056
07/05/19,0.835203,1.565914
06/05/19,0.879502,1.601606
03/05/19,0.882705,1.606313
02/05/19,0.870778,1.593791
30/04/19,0.875525,1.618104
29/04/19,0.860346,1.61087
26/04/19,0.828654,1.583454
25/04/19,0.832721,1.613754
24/04/19,0.83187,1.565024
23/04/19,0.891358,1.662749
18/04/19,0.877835,1.612954
17/04/19,0.941815,1.715488
16/04/19,0.93024,1.700167
15/04/19,0.935761,1.750309
12/04/19,0.884523,1.649067
11/04/19,0.825817,1.60392
10/04/19,0.805452,1.7833
09/04/19,0.81804,1.786741
08/04/19,0.835668,1.618106
05/04/19,0.833691,1.671485
04/04/19,0.830921,1.615194
03/04/19,0.859776,1.767247
02/04/19,0.795051,1.789392
01/04/19,0.793355,1.789966
29/03/19,0.754853,1.743124
28/03/19,0.723898,1.737032
27/03/19,0.725693,1.698954
26/03/19,0.760186,1.746094
25/03/19,0.780536,1.728
22/03/19,0.758832,1.723698
21/03/19,0.884903,1.73404
20/03/19,0.948572,1.825062
19/03/19,0.973022,1.843929
18/03/19,0.951854,1.85145
15/03/19,0.954812,1.814182
14/03/19,0.956429,1.835611
13/03/19,0.943152,1.852003
12/03/19,0.943152,1.876106
11/03/19,0.936325,1.841227
08/03/19,0.940096,1.869038
07/03/19,0.984934,1.926132
06/03/19,1.017767,2.015767
05/03/19,1.052661,2.06397
04/03/19,1.059208,2.078723
01/03/19,1.095142,2.109413
28/02/19,1.055353,2.082479
27/02/19,1.028627,2.065497
26/02/19,0.98269,1.896672
25/02/19,0.984412,1.889634
22/02/19,0.976873,1.879226
21/02/19,1.011109,1.93661
20/02/19,0.979995,1.884153
19/02/19,0.995476,1.927389
18/02/19,1.00104,1.934837
15/02/19,0.97503,1.931037
14/02/19,0.954148,1.871181
13/02/19,1.018987,1.941027
12/02/19,1.024886,1.920238
11/02/19,0.988261,1.942268
08/02/19,0.946973,1.887607
07/02/19,0.974679,1.917184
06/02/19,1.008264,1.964531
05/02/19,1.03627,2.05943
04/02/19,1.032332,2.08041
01/02/19,1.013896,1.923337
31/01/19,1.003553,2.026931
30/01/19,1.035997,2.07488
29/01/19,1.064763,2.081536
28/01/19,1.066685,2.074045
25/01/19,1.056416,2.007317
24/01/19,1.07029,2.072164
23/01/19,1.127691,2.139663
22/01/19,1.130455,2.158613
21/01/19,1.161797,2.178897
18/01/19,1.151794,2.177476
17/01/19,1.13776,2.171142
16/01/19,1.1389,2.192518
15/01/19,1.118353,2.131621
14/01/19,1.107939,2.131697
11/01/19,1.109521,2.112
10/01/19,1.129204,2.125648
09/01/19,1.160959,2.182556
08/01/19,1.167833,2.287617
07/01/19,1.15036,2.27249
04/01/19,1.136924,2.286698
03/01/19,1.093696,2.222101
02/01/19,1.064265,2.194136
28/12/18,1.174153,2.25602
27/12/18,1.148226,2.229996
21/12/18,1.114722,2.23079
20/12/18,1.079646,2.224634
19/12/18,1.120736,2.228264
18/12/18,1.136982,2.204027
17/12/18,1.162266,2.226145
14/12/18,1.176145,2.218319
13/12/18,1.130725,2.240984
12/12/18,1.118307,2.19036
11/12/18,1.118749,2.183509
10/12/18,1.113088,2.190123
07/12/18,1.188361,2.216195
06/12/18,1.159657,2.170013
05/12/18,1.210605,2.23103
04/12/18,1.23482,2.12981
03/12/18,1.278627,2.21427
30/11/18,1.279689,2.179427
29/11/18,1.298183,2.165474
28/11/18,1.326897,2.190495
27/11/18,1.315477,2.209308
26/11/18,1.325858,2.172067
23/11/18,1.303423,2.159685
22/11/18,1.350326,2.200906
21/11/18,1.335258,2.216972
20/11/18,1.324788,2.120749
19/11/18,1.364071,2.170621
16/11/18,1.354105,2.14687
15/11/18,1.347056,2.159271
14/11/18,1.38125,2.088429
13/11/18,1.35299,2.063089
12/11/18,1.338357,2.048243
09/11/18,1.360787,2.072201
08/11/18,1.399338,2.058047
07/11/18,1.386255,2.189909
06/11/18,1.378002,2.11271
05/11/18,1.376512,2.114019
02/11/18,1.375013,2.058905
01/11/18,1.339543,2.068879
31/10/18,1.314063,2.010178
30/10/18,1.311661,2.151236
29/10/18,1.333222,2.179845
26/10/18,1.28204,2.16171
25/10/18,1.325713,2.262615
24/10/18,1.329553,2.225592
23/10/18,1.326115,2.238062
22/10/18,1.35827,2.276888
19/10/18,1.363615,2.177425
18/10/18,1.398761,2.255399
17/10/18,1.400891,2.168871
16/10/18,1.418949,2.185833
15/10/18,1.437745,2.165181
12/10/18,1.433758,2.153052
11/10/18,1.452286,2.155393
10/10/18,1.481249,2.209021
09/10/18,1.485536,2.194353
08/10/18,1.467852,2.17243
05/10/18,1.464025,2.193592
04/10/18,1.41602,2.153234
03/10/18,1.360876,2.108628
02/10/18,1.350361,2.066577
01/10/18,1.406321,2.117863
28/09/18,1.360021,2.128427
27/09/18,1.385527,2.214831
26/09/18,1.42695,2.241009
25/09/18,1.440737,2.251975
24/09/18,1.419666,2.237919
21/09/18,1.394871,2.213626
20/09/18,1.421768,2.204758
19/09/18,1.419258,2.268806
18/09/18,1.396573,2.218861
17/09/18,1.383536,2.182624
14/09/18,1.395942,2.206372
13/09/18,1.375739,2.162584
12/09/18,1.340796,2.116274
11/09/18,1.376947,2.220642
10/09/18,1.347763,2.109524
07/09/18,1.323711,2.106861
06/09/18,1.305396,2.050457
05/09/18,1.333985,2.086196
04/09/18,1.284277,2.130917
03/09/18,1.273924,2.117341
31/08/18,1.279937,2.142227
30/08/18,1.306908,2.185987
29/08/18,1.360547,2.251026
28/08/18,1.335482,2.183529
